estrategia,ativo,retorno_total_%,drawdown_max_%,numero_trades,trades_por_ano,taxa_acerto_%,score_crescimento,score_fluxo,perfil,explicacao,nota_final
MomRev_252m_21r_th-5,BTCUSD,264.0,84.08,1,121.67,100.0,74.8,81.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",77.9
BB_Rev_20_2.0std_mean,IVVB11,53.59,15.74,1,33.18,100.0,72.1,81.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",76.55
MomRev_252m_21r_th-5,BTCUSD,79.57,84.08,1,121.67,100.0,64.6,81.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",72.8
MomRev_252m_21r_th-5,COPPERFUT,33.75,7.67,1,26.07,100.0,64.6,81.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",72.8
ROC_20_th0,BOVA11,253.7,27.6,2,36.5,50.0,81.7,62.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,71.85
BB_Rev_20_2.0std_mean,IVVB11,16.83,1.46,1,33.18,100.0,58.0,81.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",69.5
BB_Rev_20_2.0std_mean,DOLFUT,11.45,3.46,1,365.0,100.0,54.7,81.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",67.85
Triple_MA_SMA_10_50_200,COPPERFUT,27.8,32.37,1,73.0,100.0,54.2,81.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",67.6
ROC_20_th0,BOVA11,79.41,23.67,2,11.97,50.0,72.6,62.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,67.3
BB_Rev_20_2.0std_mean,DOLFUT,14.17,11.91,1,365.0,100.0,53.5,81.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",67.25
MomRev_252m_21r_th-5,USDBRL,10.01,6.68,1,182.5,100.0,53.0,81.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",67.0
BB_Rev_20_2.0std_mean,COPPERFUT,16.91,23.33,2,19.73,100.0,51.5,82.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",66.75
RSI_Bands_14_20_50,DOLFUT,2.75,1.57,1,40.56,100.0,50.9,81.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",65.95
BB_Rev_20_2.0std_mean,BOVA11,14.1,21.72,1,26.07,100.0,50.5,81.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",65.75
MomRev_252m_21r_th-5,SOYFUT,9.67,16.25,1,40.56,100.0,50.0,81.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",65.5
MomRev_252m_21r_th-5,WTIUSD,17.04,38.34,1,365.0,100.0,47.0,81.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",64.0
Momentum_252d_th0pct,WTIUSD,164.47,48.71,5,57.03,20.0,69.4,53.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,61.2
MA_Filter_EMA_50,XAUUSD,137.65,22.26,3,49.77,0.0,73.3,43.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,58.15
ROC_20_th0,BOVA11,168.21,16.37,1,365.0,0.0,75.1,41.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,58.05
MA_Filter_EMA_50,XAUUSD,123.11,18.23,1,365.0,0.0,74.5,41.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,57.75
Momentum_126d_th5pct,USDBRL,107.8,20.72,1,365.0,0.0,73.8,41.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,57.4
MomRev_252m_21r_th-5,WTIUSD,-8.71,40.94,1,365.0,100.0,33.4,81.0,Geração de fluxo,"Estratégia que busca realizar lucros com maior frequência, vendendo momentos de alta e recomprando oportunidades.",57.2
Momentum_252d_th0pct,USDBRL,153.62,22.6,1,182.5,0.0,73.2,41.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,57.1
MA_Filter_EMA_50,IVVB11,148.56,24.27,1,182.5,0.0,72.7,41.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,56.85
MA_Filter_EMA_50,BOVA11,165.06,28.2,2,27.04,0.0,71.5,42.0,Crescimento de patrimônio,Estratégia focada em capturar grandes movimentos de alta. Aceita ficar períodos fora do mercado para buscar tendências longas.,56.75
